rainfall,temperature,soil_type,land_hectares,yield_tons,crop
1080.3,24.48,Red,7.0,31.8,Groundnut
873.53,23.48,Sandy,2.38,21.08,Watermelon
1044.97,22.74,Sandy,6.12,30.44,Peanut
576.4,38.51,Clay,0.63,16.99,Wheat
637.71,31.22,Clay,3.0,26.17,Barley
214.65,29.96,Loamy,1.01,11.85,Sugarcane
410.39,26.87,Clay,9.53,31.68,Wheat
532.87,28.49,Clay,9.21,30.85,Wheat
988.36,38.86,Loamy,2.61,31.03,Sugarcane
1172.95,30.09,Loamy,9.54,40.13,Potato
979.71,16.44,Sandy,4.71,23.12,Peanut
705.12,19.11,Black,1.05,15.69,Chickpeas
862.44,31.97,Sandy,5.66,29.43,Watermelon
745.2,21.07,Red,9.7,29.49,Sorghum
275.79,28.48,Loamy,1.32,21.17,Rice
565.53,28.07,Red,3.07,16.66,Groundnut
940.88,19.83,Clay,8.92,31.96,Mustard
650.65,26.7,Black,2.23,23.7,Sunflower
1103.16,29.04,Sandy,3.54,26.87,Maize
796.33,20.08,Loamy,10.0,39.15,Sugarcane
1179.28,25.28,Clay,8.88,39.3,Barley
1157.73,29.86,Loamy,1.02,23.13,Sugarcane
277.82,18.6,Loamy,2.63,13.9,Sugarcane
260.57,21.34,Clay,2.01,13.35,Mustard
496.77,33.75,Black,6.96,30.03,Chickpeas
1107.3,17.16,Black,6.73,30.9,Chickpeas
375.74,32.72,Sandy,4.69,29.13,Cucumber
423.1,38.45,Black,7.14,36.82,Sunflower
371.52,16.25,Clay,2.47,14.47,Barley
271.63,29.69,Sandy,9.61,33.16,Watermelon
496.58,34.22,Sandy,5.02,30.42,Watermelon
759.71,23.93,Loamy,3.56,19.55,Sugarcane
237.53,38.36,Sandy,1.29,20.93,Watermelon
1027.22,26.36,Clay,5.63,32.07,Wheat
1007.18,37.35,Black,9.42,41.28,Soybean
1040.94,23.41,Sandy,5.52,28.67,Watermelon
928.56,28.57,Red,1.79,22.46,Millet
650.92,31.68,Sandy,9.19,31.94,Maize
346.67,22.16,Black,2.17,14.52,Chickpeas
869.79,35.64,Sandy,0.72,26.65,Watermelon
286.43,19.73,Red,3.09,17.57,Pulses
844.0,15.55,Black,9.1,34.23,Cotton
665.13,22.57,Red,5.27,27.18,Pulses
324.5,19.52,Loamy,9.75,21.37,Rice
1060.5,34.45,Sandy,1.79,22.74,Cucumber
917.11,33.7,Sandy,5.59,31.87,Watermelon
375.57,27.66,Black,3.05,19.8,Sunflower
902.97,21.85,Clay,3.43,20.65,Barley
1153.39,18.21,Loamy,9.6,33.65,Potato
1191.8,18.15,Black,1.95,20.66,Sunflower
1165.7,19.02,Clay,7.07,25.24,Wheat
691.93,20.25,Black,8.01,28.32,Sunflower
375.05,17.18,Sandy,3.85,19.48,Peanut
726.62,27.71,Sandy,7.45,25.39,Peanut
901.69,37.11,Sandy,3.29,25.12,Peanut
205.72,29.01,Clay,1.57,11.4,Barley
882.33,22.99,Black,7.85,34.44,Chickpeas
958.46,21.46,Black,4.06,27.82,Soybean
456.08,38.66,Red,3.46,24.69,Pulses
551.07,22.12,Clay,3.41,17.12,Lentils
768.98,35.08,Clay,5.88,31.24,Wheat
254.44,21.14,Sandy,5.48,20.36,Maize
661.34,27.95,Sandy,1.22,17.82,Watermelon
648.94,34.36,Loamy,5.66,21.88,Sugarcane
594.17,33.8,Loamy,7.22,31.57,Rice
498.85,23.44,Clay,7.7,32.65,Mustard
415.59,30.72,Sandy,2.15,19.32,Watermelon
270.48,35.62,Red,8.93,28.9,Pulses
944.05,22.08,Black,1.66,17.07,Sunflower
1050.58,26.48,Loamy,7.39,32.32,Sugarcane
729.15,38.34,Clay,9.89,36.79,Mustard
700.29,25.28,Clay,3.37,25.59,Mustard
674.37,38.8,Clay,7.07,30.39,Wheat
418.11,16.61,Loamy,5.66,23.57,Potato
1032.88,28.12,Black,5.86,34.46,Chickpeas
906.06,35.33,Loamy,7.19,34.7,Rice
321.14,22.42,Sandy,3.36,14.89,Cucumber
788.5,35.02,Red,3.86,28.2,Millet
324.25,20.53,Sandy,9.24,19.01,Maize
225.09,25.1,Clay,2.34,8.16,Mustard
964.96,37.48,Black,3.96,29.45,Cotton
201.67,39.28,Black,5.18,20.89,Cotton
622.91,26.29,Clay,3.3,20.76,Mustard
862.96,24.42,Red,1.69,22.22,Sorghum
1060.29,23.64,Loamy,8.22,40.65,Potato
659.64,15.34,Clay,0.91,14.61,Lentils
224.93,21.37,Black,3.0,17.41,Cotton
526.38,22.72,Red,4.79,26.95,Groundnut
454.16,34.86,Red,6.79,26.39,Sorghum
360.1,20.29,Clay,6.39,20.3,Barley
858.59,26.32,Clay,9.22,35.16,Wheat
872.08,37.97,Black,2.91,22.71,Cotton
967.08,25.46,Sandy,7.83,31.27,Maize
789.21,35.47,Sandy,9.64,38.32,Watermelon
1102.43,16.35,Loamy,3.01,20.49,Potato
650.66,20.9,Clay,0.99,16.53,Wheat
1101.92,16.97,Clay,0.71,16.88,Mustard
531.64,38.74,Clay,5.15,30.84,Barley
867.76,39.34,Black,0.61,13.24,Cotton
1182.95,31.28,Sandy,3.28,27.77,Peanut
408.34,21.06,Clay,1.68,12.8,Lentils
680.43,37.23,Red,3.02,23.53,Pulses
1084.88,28.4,Clay,6.33,33.74,Wheat
824.16,27.29,Loamy,4.79,26.79,Rice
314.45,33.52,Clay,9.7,34.91,Wheat
847.45,26.62,Black,4.98,24.17,Chickpeas
822.86,27.95,Red,3.98,26.38,Pulses
558.0,31.77,Loamy,1.87,18.06,Potato
416.98,21.03,Black,3.87,16.11,Soybean
793.3,22.31,Red,3.41,19.39,Pulses
883.06,29.6,Black,8.62,41.2,Soybean
1107.61,30.05,Clay,2.18,25.71,Barley
416.05,19.06,Red,8.0,24.0,Sorghum
650.64,26.8,Loamy,8.72,27.34,Potato
999.89,22.71,Red,1.33,16.38,Sorghum
1022.4,34.43,Sandy,2.39,27.06,Watermelon
919.49,38.49,Red,5.12,34.67,Millet
895.83,16.23,Red,9.13,34.18,Pulses
689.18,27.91,Black,9.3,34.6,Soybean
1079.7,16.22,Loamy,4.92,26.69,Sugarcane
799.22,28.8,Loamy,2.87,22.28,Potato
743.13,31.74,Red,1.51,20.26,Groundnut
761.02,29.76,Clay,6.64,31.82,Barley
758.26,34.09,Sandy,5.03,33.89,Cucumber
625.31,17.7,Red,0.93,12.33,Pulses
434.1,26.25,Clay,4.87,20.05,Barley
1061.2,17.97,Red,5.08,30.55,Sorghum
1122.61,19.6,Loamy,8.41,38.86,Tomato
344.84,28.27,Red,1.78,14.51,Millet
984.02,34.8,Clay,0.73,19.36,Barley
616.08,21.12,Red,1.35,16.62,Millet
1100.65,22.68,Loamy,3.25,26.01,Sugarcane
538.22,16.45,Clay,3.01,15.71,Barley
832.55,36.13,Sandy,5.4,29.89,Maize
1052.93,22.88,Clay,8.77,31.64,Mustard
434.21,22.35,Black,6.55,24.32,Chickpeas
317.76,16.94,Black,4.46,14.45,Soybean
1008.4,29.19,Red,2.06,15.3,Millet
465.56,35.66,Red,4.14,26.86,Pulses
773.29,27.6,Black,0.52,14.38,Cotton
830.1,15.02,Black,3.66,19.51,Cotton
625.98,18.05,Clay,4.69,23.56,Barley
709.7,27.25,Loamy,8.51,31.02,Tomato
359.52,32.81,Clay,1.9,18.28,Wheat
646.8,25.05,Clay,8.29,31.27,Mustard
1026.34,17.7,Loamy,6.02,29.59,Potato
928.98,17.04,Black,1.68,19.44,Sunflower
680.73,35.95,Sandy,4.71,25.99,Watermelon
298.32,26.06,Black,6.43,23.77,Sunflower
273.2,29.68,Clay,3.22,18.26,Lentils
1031.1,34.46,Clay,2.39,26.48,Wheat
580.06,30.3,Loamy,1.53,17.12,Tomato
821.78,39.79,Sandy,0.59,27.54,Watermelon
305.41,36.31,Loamy,9.01,31.9,Tomato
743.75,32.54,Red,4.86,28.32,Millet
511.14,33.67,Black,3.95,21.13,Cotton
676.79,38.93,Clay,9.87,35.95,Mustard
890.09,25.87,Clay,9.65,32.07,Mustard
850.62,21.79,Red,6.04,22.2,Pulses
473.74,31.04,Red,9.22,31.12,Sorghum
831.12,29.11,Clay,5.38,28.69,Mustard
1083.98,23.27,Black,1.09,19.9,Soybean
570.29,25.78,Black,4.8,21.06,Sunflower
471.88,39.89,Black,6.42,27.18,Cotton
948.51,17.52,Clay,7.37,28.23,Lentils
1147.84,37.44,Loamy,0.6,22.04,Tomato
815.09,26.89,Black,7.97,29.13,Sunflower
984.21,24.49,Sandy,4.27,22.19,Watermelon
577.72,32.15,Red,0.55,18.04,Millet
996.46,25.92,Red,6.43,29.65,Groundnut
639.07,29.4,Black,8.76,37.74,Soybean
328.58,26.21,Red,5.84,25.37,Pulses
1017.38,32.15,Black,8.16,38.56,Chickpeas
694.1,34.57,Clay,4.5,27.42,Wheat
692.26,17.99,Black,1.67,13.62,Chickpeas
934.84,32.74,Black,0.83,16.49,Soybean
1039.82,19.2,Black,8.06,31.75,Sunflower
1033.42,37.77,Black,5.18,35.12,Soybean
1180.18,16.56,Clay,8.95,34.06,Lentils
263.92,22.46,Loamy,5.57,22.88,Rice
930.18,23.17,Loamy,3.48,26.64,Rice
359.45,30.77,Loamy,7.59,23.41,Potato
699.8,17.2,Black,7.48,23.22,Soybean
250.64,30.55,Red,3.39,13.6,Groundnut
1058.75,25.53,Clay,5.99,28.68,Barley
694.63,15.37,Loamy,6.51,27.41,Rice
578.35,29.91,Clay,1.46,22.48,Wheat
698.87,21.88,Red,9.42,35.67,Pulses
871.22,37.91,Black,1.92,23.53,Chickpeas
1010.96,34.14,Red,5.7,26.78,Groundnut
409.96,28.62,Clay,6.89,26.87,Mustard
1113.58,17.21,Loamy,7.91,35.28,Sugarcane
237.2,36.33,Loamy,5.97,21.86,Sugarcane
1193.25,30.66,Red,0.63,23.74,Millet
863.32,25.49,Loamy,4.24,25.1,Rice
860.29,18.52,Clay,1.99,19.15,Mustard
772.57,26.14,Red,3.91,22.13,Pulses
796.86,20.04,Loamy,2.79,24.56,Tomato
829.14,35.38,Clay,6.57,30.83,Wheat
622.91,36.27,Loamy,6.12,33.06,Sugarcane
672.39,20.79,Clay,7.75,27.63,Barley
229.2,30.41,Loamy,1.89,14.09,Potato
200.41,27.39,Loamy,1.32,12.37,Rice
922.2,36.26,Black,2.38,24.18,Cotton
513.07,29.21,Sandy,4.71,22.89,Cucumber
683.39,32.81,Sandy,6.32,27.31,Cucumber
860.28,36.4,Loamy,1.39,21.35,Tomato
815.34,31.26,Clay,2.53,25.04,Lentils
997.87,37.99,Clay,0.67,20.37,Mustard
811.8,36.18,Black,6.37,30.46,Sunflower
985.66,23.67,Red,0.66,14.2,Sorghum
695.46,23.41,Red,5.93,24.54,Sorghum
459.01,27.3,Loamy,1.86,14.59,Rice
202.23,38.11,Red,1.42,13.64,Sorghum
507.89,28.77,Clay,7.44,22.55,Mustard
925.0,33.77,Black,6.79,36.87,Soybean
684.14,25.84,Red,8.24,26.96,Sorghum
493.33,15.98,Red,8.99,30.55,Millet
670.96,20.67,Red,9.08,37.32,Pulses
759.49,32.33,Loamy,7.85,33.61,Tomato
808.56,21.4,Black,7.53,25.96,Soybean
241.24,33.28,Black,6.7,29.59,Sunflower
873.95,16.7,Loamy,5.72,22.92,Tomato
524.71,29.27,Red,3.0,18.88,Millet
543.13,28.71,Clay,0.64,17.53,Barley
807.05,24.1,Clay,7.01,32.16,Wheat
808.12,24.52,Sandy,1.64,11.77,Watermelon
346.15,38.67,Clay,3.9,24.69,Lentils
863.79,31.4,Clay,0.72,22.73,Barley
1136.7,18.91,Black,1.61,20.58,Cotton
496.66,37.98,Sandy,2.19,23.11,Maize
446.79,36.55,Sandy,3.0,23.63,Maize
943.14,32.37,Sandy,9.61,36.93,Maize
578.72,24.8,Loamy,7.4,29.2,Potato
507.55,35.95,Loamy,4.81,27.55,Rice
407.92,37.97,Black,5.72,23.54,Chickpeas
479.16,23.63,Red,6.41,29.97,Sorghum
1118.69,17.5,Clay,8.6,39.13,Barley
361.13,37.67,Sandy,8.48,32.72,Cucumber
652.02,33.07,Red,1.84,16.65,Millet
1185.86,29.32,Red,3.01,27.51,Millet
554.12,31.18,Red,9.56,38.78,Pulses
515.6,36.33,Black,6.31,22.35,Cotton
423.78,20.71,Clay,6.67,23.74,Barley
712.18,26.18,Loamy,6.8,29.86,Potato
222.19,37.27,Black,6.42,25.58,Chickpeas
529.68,19.81,Red,0.66,15.59,Pulses
388.84,29.76,Clay,2.13,13.66,Barley
1191.21,31.16,Black,3.11,29.1,Chickpeas
499.58,22.17,Red,4.8,15.58,Millet
229.33,16.71,Red,8.11,24.78,Pulses
957.26,17.03,Red,2.95,17.35,Pulses
1078.39,32.52,Clay,4.64,34.36,Barley
308.9,32.93,Sandy,5.36,24.99,Watermelon
747.35,28.67,Red,9.06,40.81,Groundnut
548.98,28.19,Red,0.99,19.28,Sorghum
636.46,27.23,Clay,8.72,31.67,Wheat
455.51,40.0,Black,8.59,33.55,Cotton
471.24,38.99,Loamy,8.44,35.3,Rice
1039.79,25.13,Red,3.48,28.43,Groundnut
727.28,15.3,Clay,2.86,18.39,Lentils
842.73,16.35,Sandy,6.06,28.64,Watermelon
555.6,18.01,Loamy,6.88,26.72,Tomato
993.19,31.84,Loamy,3.73,21.84,Rice
454.67,32.78,Loamy,4.54,19.63,Potato
959.53,16.74,Clay,9.91,32.25,Wheat
457.81,27.13,Sandy,7.95,27.65,Watermelon
435.03,37.8,Loamy,9.86,35.44,Tomato
437.62,28.32,Black,0.93,19.47,Cotton
911.14,39.57,Black,1.64,24.97,Soybean
380.06,18.82,Black,2.51,13.89,Sunflower
584.02,21.39,Red,8.48,29.41,Sorghum
944.21,32.67,Black,7.57,34.92,Cotton
864.32,25.91,Sandy,8.26,32.13,Maize
335.04,32.67,Red,2.17,18.96,Sorghum
889.18,16.27,Red,8.11,26.61,Groundnut
1000.83,24.77,Clay,4.43,24.62,Mustard
635.19,24.72,Loamy,6.21,28.36,Sugarcane
981.0,28.54,Loamy,3.99,33.02,Potato
790.73,27.84,Red,7.3,24.81,Groundnut
510.29,33.36,Clay,9.39,36.7,Mustard
378.92,29.12,Sandy,8.45,27.34,Maize
693.71,28.61,Black,6.57,30.97,Chickpeas
204.35,30.11,Black,9.09,27.08,Cotton
1139.18,31.6,Red,4.96,30.14,Sorghum
1193.5,26.17,Clay,0.64,21.9,Wheat
407.66,37.03,Red,1.69,18.48,Groundnut
539.66,30.76,Loamy,3.52,19.77,Potato
1041.13,16.65,Black,3.89,20.77,Sunflower
1141.1,27.18,Sandy,0.63,25.33,Cucumber
618.13,22.31,Black,0.75,14.9,Cotton
1113.46,33.87,Clay,8.78,37.31,Lentils
913.41,24.36,Clay,2.9,22.76,Mustard
927.91,34.25,Loamy,3.05,26.2,Rice
1027.0,20.45,Clay,2.96,19.62,Lentils
524.21,28.21,Sandy,5.65,32.05,Peanut
1155.55,35.27,Black,7.45,37.63,Sunflower
410.16,28.61,Black,1.24,15.05,Chickpeas
356.95,26.48,Clay,9.99,32.91,Mustard
448.52,18.19,Clay,9.56,27.87,Wheat
462.18,17.89,Loamy,8.38,24.9,Rice
659.59,31.33,Clay,1.56,15.88,Lentils
1004.5,15.64,Black,1.91,15.54,Soybean
1147.98,17.75,Red,0.73,15.0,Sorghum
627.27,35.26,Red,4.45,26.86,Sorghum
765.27,31.73,Sandy,4.38,26.9,Peanut
405.61,34.53,Loamy,0.98,15.88,Potato
546.06,34.0,Clay,1.9,21.5,Wheat
214.78,24.43,Red,7.48,24.81,Millet
634.42,15.4,Sandy,5.77,31.92,Watermelon
457.84,18.47,Clay,9.61,24.61,Wheat
709.54,31.16,Clay,6.45,28.31,Barley
1127.06,17.84,Loamy,8.86,30.51,Rice
536.57,33.02,Black,7.25,29.69,Sunflower
664.37,29.1,Loamy,6.3,24.1,Rice
695.55,33.99,Red,8.5,31.66,Groundnut
678.29,23.11,Red,2.13,16.12,Pulses
247.84,19.27,Red,6.96,28.51,Groundnut
1046.08,15.75,Clay,8.73,32.26,Lentils
561.09,29.22,Clay,4.22,19.42,Lentils
706.87,25.94,Sandy,6.66,27.93,Cucumber
852.28,27.85,Sandy,9.25,34.57,Peanut
566.29,30.54,Loamy,7.55,30.39,Tomato
820.85,25.23,Black,6.24,27.22,Chickpeas
632.02,27.03,Red,2.6,19.4,Sorghum
1164.08,25.46,Sandy,6.06,28.84,Cucumber
1043.03,24.08,Clay,8.15,36.71,Lentils
547.3,17.79,Black,2.87,15.65,Sunflower
1025.64,30.56,Black,7.55,35.88,Chickpeas
409.19,29.29,Black,8.09,31.01,Soybean
570.03,15.95,Clay,3.25,19.01,Wheat
735.62,29.8,Red,7.2,31.0,Groundnut
887.7,27.45,Red,1.81,24.94,Sorghum
885.52,26.89,Sandy,6.5,29.69,Maize
335.48,23.75,Loamy,3.39,17.77,Potato
235.54,32.77,Sandy,9.65,32.2,Cucumber
1108.21,15.38,Loamy,3.05,21.03,Potato
785.34,19.98,Red,5.66,19.99,Millet
475.64,25.12,Red,5.92,17.5,Groundnut
272.78,37.42,Sandy,0.89,18.17,Watermelon
465.51,22.99,Red,7.88,31.86,Millet
755.02,39.15,Clay,8.96,31.43,Barley
615.18,17.23,Loamy,7.74,24.29,Sugarcane
1051.93,29.37,Red,5.39,33.35,Sorghum
744.54,15.0,Clay,5.94,18.19,Mustard
776.82,35.13,Sandy,1.79,24.38,Maize
973.28,27.58,Clay,1.55,17.13,Wheat
824.21,32.04,Loamy,6.23,28.69,Rice
558.17,31.36,Loamy,3.47,23.23,Rice
709.45,27.27,Clay,2.25,20.79,Wheat
620.85,27.4,Clay,7.84,30.86,Barley
734.07,29.81,Clay,7.55,29.67,Wheat
961.64,22.41,Black,6.14,30.84,Cotton
724.35,24.7,Black,9.14,36.47,Cotton
439.55,18.45,Loamy,2.86,15.81,Tomato
207.35,32.31,Red,6.61,23.97,Pulses
994.21,33.96,Loamy,2.63,29.37,Rice
596.48,25.73,Clay,4.38,24.52,Mustard
954.19,19.85,Black,8.75,29.05,Cotton
374.49,33.03,Loamy,9.81,30.62,Sugarcane
1150.2,33.82,Clay,1.47,18.77,Barley
621.38,27.09,Black,6.91,23.55,Soybean
572.68,27.02,Loamy,5.16,22.06,Tomato
263.56,35.37,Sandy,4.06,26.17,Peanut
245.77,26.43,Sandy,7.5,20.17,Peanut
445.84,32.79,Red,8.64,27.93,Groundnut
1027.69,31.58,Clay,4.62,27.65,Lentils
622.99,31.83,Loamy,8.75,36.21,Sugarcane
680.74,29.37,Sandy,3.92,22.35,Cucumber
1190.92,29.02,Red,2.44,27.77,Groundnut
1001.29,25.77,Red,8.48,36.27,Sorghum
1093.32,20.43,Loamy,4.49,30.14,Tomato
647.51,30.75,Sandy,9.19,38.53,Watermelon
859.54,20.06,Clay,7.87,28.75,Barley
348.4,37.73,Loamy,5.09,26.37,Rice
869.5,20.32,Red,6.55,31.94,Sorghum
333.48,34.73,Clay,1.25,14.65,Wheat
816.28,36.59,Sandy,9.15,38.78,Maize
819.43,27.9,Sandy,7.24,35.68,Peanut
1069.92,31.58,Loamy,5.09,28.81,Potato
516.57,29.88,Loamy,5.62,31.0,Rice
629.98,29.19,Black,6.59,29.2,Cotton
1102.24,27.95,Loamy,3.03,24.64,Rice
644.12,16.01,Sandy,0.55,11.75,Peanut
833.89,20.24,Sandy,5.79,23.88,Maize
293.22,25.41,Clay,6.35,30.66,Mustard
799.09,26.39,Black,1.63,20.09,Cotton
356.09,22.73,Loamy,1.96,18.26,Potato
715.51,19.45,Sandy,1.76,14.51,Watermelon
416.83,19.94,Clay,3.06,15.19,Lentils
1042.51,22.4,Sandy,4.85,26.9,Cucumber
285.24,29.92,Clay,7.03,17.74,Mustard
381.57,19.54,Loamy,2.53,15.76,Sugarcane
584.54,30.74,Red,4.27,22.17,Groundnut
562.7,39.11,Loamy,8.2,34.55,Potato
1071.08,15.92,Loamy,1.6,17.24,Rice
214.88,35.24,Black,8.42,29.42,Cotton
244.11,39.81,Red,8.37,31.95,Millet
1045.07,19.68,Black,7.48,31.3,Soybean
1180.89,27.76,Sandy,4.62,28.5,Watermelon
768.56,37.98,Sandy,7.92,29.2,Watermelon
683.5,22.2,Loamy,0.92,15.24,Rice
1048.7,21.0,Black,2.88,19.87,Soybean
983.42,28.92,Clay,3.45,25.69,Barley
1106.16,16.45,Loamy,7.2,22.6,Tomato
309.5,17.23,Clay,2.95,16.22,Mustard
316.27,36.8,Clay,2.4,17.27,Lentils
266.5,33.93,Red,9.71,32.91,Sorghum
310.41,36.2,Loamy,1.63,19.58,Tomato
479.1,37.99,Sandy,5.68,27.05,Watermelon
467.34,28.55,Red,6.97,26.05,Pulses
401.76,26.89,Sandy,5.54,23.49,Watermelon
248.02,36.48,Red,6.27,26.72,Groundnut
1162.54,38.82,Clay,5.74,30.79,Wheat
814.7,31.47,Black,2.7,19.13,Chickpeas
999.99,20.43,Loamy,5.61,21.73,Rice
320.08,33.52,Red,6.73,28.13,Pulses
1111.89,23.07,Loamy,6.65,25.83,Sugarcane
481.71,20.48,Black,9.35,32.32,Sunflower
470.11,17.76,Sandy,1.97,12.26,Watermelon
767.99,31.75,Sandy,9.32,32.71,Peanut
577.48,21.2,Loamy,8.49,23.53,Sugarcane
1126.21,21.84,Red,2.35,20.11,Groundnut
1111.05,19.57,Red,5.24,26.54,Pulses
651.7,24.98,Black,3.17,15.63,Soybean
1149.82,31.98,Loamy,0.79,21.92,Rice
549.58,29.46,Clay,3.99,22.95,Barley
570.34,38.02,Sandy,9.71,40.21,Watermelon
405.7,20.79,Loamy,2.34,16.09,Sugarcane
651.85,28.13,Red,9.19,34.25,Sorghum
1021.88,25.15,Sandy,4.22,25.63,Watermelon
886.49,17.48,Red,0.6,13.98,Groundnut
368.31,21.73,Red,6.58,18.83,Sorghum
631.84,32.05,Red,3.23,16.95,Sorghum
678.12,23.77,Loamy,4.14,22.14,Potato
765.65,21.92,Black,5.28,24.64,Chickpeas
551.12,17.74,Loamy,4.3,20.13,Sugarcane
1050.19,17.72,Red,8.47,32.95,Pulses
1088.7,39.47,Black,6.02,36.06,Soybean
293.4,28.09,Clay,4.86,24.35,Barley
981.32,30.72,Black,2.71,28.14,Cotton
1177.99,26.34,Clay,3.36,28.16,Lentils
1194.16,23.04,Black,9.97,42.18,Chickpeas
339.58,38.9,Clay,9.13,32.69,Barley
556.13,38.86,Red,7.38,34.56,Groundnut
927.1,29.65,Loamy,1.14,21.03,Sugarcane
843.35,31.91,Sandy,8.88,35.34,Maize
625.35,38.7,Loamy,9.19,32.54,Sugarcane
640.64,31.17,Clay,4.96,21.3,Wheat
1104.61,16.94,Loamy,2.82,21.48,Rice
366.91,35.69,Black,7.62,34.67,Cotton
918.82,37.64,Black,7.76,36.57,Soybean
417.76,30.33,Black,3.26,29.18,Sunflower
285.94,18.87,Black,9.67,32.6,Soybean
595.73,21.57,Sandy,2.49,21.02,Watermelon
771.81,28.73,Loamy,9.54,35.46,Tomato
305.35,29.61,Black,8.58,31.2,Soybean
1153.1,39.2,Sandy,2.63,29.09,Watermelon
1057.67,23.35,Black,5.07,26.16,Cotton
721.37,38.68,Loamy,9.61,35.53,Tomato
911.92,22.9,Loamy,3.68,24.56,Sugarcane
752.43,20.88,Black,8.68,32.64,Chickpeas
1057.28,38.42,Clay,5.86,30.46,Lentils
958.85,38.01,Sandy,4.66,29.09,Maize
829.61,35.72,Loamy,4.83,26.64,Tomato
780.13,36.25,Red,7.43,37.11,Sorghum
635.94,17.55,Loamy,6.77,27.3,Potato
465.02,25.82,Red,0.94,15.88,Millet
1011.63,19.14,Black,9.46,31.48,Soybean
568.32,23.12,Loamy,2.14,12.28,Rice
952.93,19.4,Red,8.21,29.96,Groundnut
272.56,30.27,Red,9.46,32.13,Sorghum
426.24,39.15,Red,4.02,25.68,Groundnut
378.96,20.11,Sandy,6.7,23.46,Maize
931.59,15.09,Clay,6.46,27.92,Mustard
603.84,39.79,Black,3.09,23.73,Soybean
772.5,26.49,Clay,1.9,19.55,Barley
645.39,28.01,Sandy,6.27,28.82,Cucumber
774.57,17.8,Clay,7.37,27.95,Wheat
313.8,33.01,Sandy,2.71,21.66,Maize
208.17,26.54,Clay,1.72,13.65,Wheat
732.39,35.62,Sandy,7.73,36.29,Peanut
346.3,15.09,Loamy,3.02,16.2,Potato
774.44,35.09,Sandy,2.33,18.72,Maize
417.8,18.25,Sandy,0.59,13.26,Watermelon
956.43,24.59,Loamy,4.89,29.4,Potato
725.53,34.65,Red,7.52,28.38,Sorghum
263.17,35.76,Black,0.65,12.42,Chickpeas
808.36,35.74,Red,3.29,21.95,Millet
1102.32,16.39,Loamy,1.23,16.12,Tomato
266.49,29.99,Loamy,3.66,22.78,Sugarcane
515.88,20.09,Red,8.17,27.51,Groundnut
576.45,34.44,Loamy,7.66,32.73,Sugarcane
1098.97,20.57,Black,4.32,22.12,Sunflower
313.82,25.15,Red,6.61,20.37,Groundnut
421.27,24.84,Sandy,8.39,28.04,Cucumber
559.3,29.53,Black,1.31,17.85,Chickpeas
201.98,20.13,Sandy,0.72,10.21,Cucumber
225.79,37.75,Clay,1.88,22.36,Wheat
1037.96,27.17,Clay,1.91,23.95,Barley
751.65,20.24,Red,3.15,21.46,Sorghum
394.94,17.41,Sandy,2.03,7.96,Cucumber
958.32,16.92,Loamy,3.81,26.34,Rice
457.62,20.1,Black,9.81,28.88,Sunflower
362.5,16.58,Sandy,3.57,15.28,Cucumber
273.81,35.93,Black,9.39,32.45,Soybean
277.64,29.57,Black,3.06,25.1,Cotton
457.65,23.66,Red,3.89,18.43,Pulses
1000.37,19.23,Red,6.77,24.27,Sorghum
586.24,32.38,Black,3.99,17.44,Cotton
338.63,29.2,Clay,6.68,26.22,Mustard
963.9,25.19,Red,8.31,36.12,Pulses
631.91,27.19,Red,9.55,31.75,Pulses
728.96,18.91,Clay,3.77,21.6,Barley
996.01,31.68,Loamy,6.63,30.44,Sugarcane
689.87,35.17,Black,9.74,35.18,Sunflower
883.7,37.91,Clay,3.14,30.86,Mustard
377.65,33.52,Red,3.37,17.83,Pulses
658.99,39.4,Black,6.03,32.74,Chickpeas
345.28,20.17,Loamy,2.84,17.53,Tomato
398.34,23.18,Loamy,6.45,23.38,Tomato
655.75,20.4,Black,4.42,22.56,Cotton
1174.08,27.91,Red,7.19,36.74,Groundnut
401.86,27.34,Sandy,8.97,32.25,Cucumber
366.23,29.68,Clay,1.85,19.67,Lentils
248.05,16.8,Red,7.88,19.97,Groundnut
618.35,24.43,Loamy,1.1,15.22,Potato
966.59,22.34,Clay,2.95,20.7,Lentils
909.83,17.01,Sandy,0.87,12.27,Maize
915.02,15.07,Loamy,9.31,38.15,Sugarcane
799.15,26.76,Sandy,1.19,19.41,Watermelon
942.55,17.09,Red,6.83,27.68,Millet
482.48,38.88,Clay,8.25,26.82,Barley
393.33,37.51,Red,1.66,22.13,Millet
1019.66,16.08,Red,4.5,26.25,Pulses
706.79,37.26,Loamy,9.61,40.5,Sugarcane
603.57,26.29,Black,0.84,14.32,Chickpeas
290.78,17.0,Sandy,4.32,14.12,Peanut
253.18,32.13,Loamy,1.02,12.38,Tomato
256.77,39.11,Loamy,0.62,16.73,Sugarcane
850.55,16.25,Sandy,2.66,18.0,Cucumber
776.72,19.78,Red,7.94,28.62,Sorghum
676.18,17.84,Red,5.66,19.29,Groundnut
1077.23,19.36,Clay,6.9,31.32,Mustard
236.49,23.17,Sandy,4.38,19.22,Maize
867.03,22.36,Sandy,9.72,35.87,Peanut
635.65,25.04,Red,9.99,30.58,Millet
841.86,20.16,Black,1.87,18.75,Soybean
238.37,25.93,Red,4.35,22.08,Pulses
839.87,21.35,Red,1.6,22.15,Groundnut
